True Yield,Prediction_Ours_500
0.7063810420000001,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.0,0.0-15.0
0.0,40.0-50.0
0.0,40.0-50.0
6.9705672320000005,40.0-50.0
41.26452613,40.0-50.0
44.14137034,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
2.548391087,0.0-15.0
0.0,15.0-30.0
0.0,0.0-15.0
2.086409943,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
1.426630798,15.0-30.0
2.069142775,15.0-30.0
1.798923194,15.0-30.0
0.0,0.0-15.0
0.0,15.0-30.0
0.0,30.0-40.0
2.118660091,0.0-15.0
0.0,15.0-30.0
2.890686767,15.0-30.0
1.924092177,0.0-15.0
0.0,0.0-15.0
0.712699399,70.0-85.0
2.495636052,40.0-50.0
1.029883817,60.0-70.0
1.728296665,70.0-85.0
0.390715033,40.0-50.0
0.252253584,30.0-40.0
0.381599662,40.0-50.0
0.746156967,0.0-15.0
0.328567973,0.0-15.0
0.568210949,0.0-15.0
0.572188732,50.0-60.0
0.0,50.0-60.0
0.0,70.0-85.0
0.337596865,60.0-70.0
1.088494579,60.0-70.0
1.226874544,85.0-100.0
0.0,30.0-40.0
0.0,30.0-40.0
0.0,70.0-85.0
1.152131483,0.0-15.0
0.4677335079999999,15.0-30.0
0.256451547,0.0-15.0
0.979807222,0.0-15.0
0.0,0.0-15.0
0.0,70.0-85.0
0.0,15.0-30.0
0.926720681,15.0-30.0
1.126878627,85.0-100.0
0.0,40.0-50.0
0.0,30.0-40.0
0.0,40.0-50.0
6.119058475,15.0-30.0
3.867385769,15.0-30.0
3.12306153,15.0-30.0
29.29817829,40.0-50.0
13.9769471,40.0-50.0
11.74218494,40.0-50.0
16.64966496,15.0-30.0
14.90450687,15.0-30.0
13.33632103,40.0-50.0
16.04854773,40.0-50.0
33.62905648,40.0-50.0
34.96324083,40.0-50.0
42.11946098,40.0-50.0
37.03037628,40.0-50.0
49.61438009,40.0-50.0
44.55887608,40.0-50.0
39.52986412,40.0-50.0
48.46327508,40.0-50.0
12.592787,15.0-30.0
15.16664871,15.0-30.0
35.70389569,70.0-85.0
40.45135336,40.0-50.0
24.02819715,40.0-50.0
46.64994849,40.0-50.0
43.42467948,40.0-50.0
40.97949244,40.0-50.0
47.14534203,70.0-85.0
12.29594301,15.0-30.0
15.82179421,15.0-30.0
34.28507945,40.0-50.0
44.68712072,40.0-50.0
21.71222946,40.0-50.0
32.99753143,40.0-50.0
47.71300168,40.0-50.0
40.29418927,40.0-50.0
55.18037009,40.0-50.0
4.344676685,15.0-30.0
1.224185961,15.0-30.0
3.941726457,40.0-50.0
11.1309805,15.0-30.0
17.26980964,15.0-30.0
10.60791195,40.0-50.0
28.77482765,15.0-30.0
23.41191123,15.0-30.0
14.82994008,40.0-50.0
16.39030586,40.0-50.0
47.2768797,40.0-50.0
49.39865649,40.0-50.0
50.90618574,40.0-50.0
45.39654665,40.0-50.0
50.57898439,40.0-50.0
45.57576479,40.0-50.0
43.182647,40.0-50.0
44.07099157,70.0-85.0
11.12595571,40.0-50.0
11.31352123,30.0-40.0
20.76458994,70.0-85.0
38.44240466,15.0-30.0
40.82349272,15.0-30.0
34.83452753,70.0-85.0
44.72607544,70.0-85.0
47.57684436,70.0-85.0
48.43208177,70.0-85.0
13.88581248,40.0-50.0
15.1448727,40.0-50.0
28.52881836,40.0-50.0
53.17975334,15.0-30.0
46.19696168,40.0-50.0
54.23706273,40.0-50.0
52.34346738,40.0-50.0
43.34412585,40.0-50.0
50.10834683,40.0-50.0
4.215754471,15.0-30.0
9.043513945,15.0-30.0
4.057606054,15.0-30.0
3.267294839,15.0-30.0
0.0,15.0-30.0
0.0,30.0-40.0
39.67142934,15.0-30.0
14.09805788,15.0-30.0
12.94497014,40.0-50.0
2.627491811,0.0-15.0
0.665064231,0.0-15.0
2.7859919960000004,30.0-40.0
16.4358293,40.0-50.0
33.60384304,40.0-50.0
44.39407022,70.0-85.0
13.33701887,30.0-40.0
6.77799041,30.0-40.0
13.87014343,30.0-40.0
44.92520247,40.0-50.0
39.32908802,40.0-50.0
50.43757677,70.0-85.0
9.065649451,40.0-50.0
25.94022732,30.0-40.0
31.15457228,40.0-50.0
9.853260903,50.0-60.0
19.70724871,50.0-60.0
35.46998729,70.0-85.0
10.4212352,30.0-40.0
3.378377543,50.0-60.0
7.275251821,50.0-60.0
47.81434881,50.0-60.0
38.49679424,60.0-70.0
52.14134094,70.0-85.0
9.492103343,0.0-15.0
4.728362295,0.0-15.0
17.55880282,50.0-60.0
7.829216765,15.0-30.0
20.36820588,15.0-30.0
42.90896956,40.0-50.0
3.302452152,30.0-40.0
2.004686227,30.0-40.0
4.988380083,30.0-40.0
45.98289688,40.0-50.0
31.39385907,40.0-50.0
48.41843845,70.0-85.0
4.7783658,40.0-50.0
3.046255894,30.0-40.0
17.8480573,40.0-50.0
0.0,15.0-30.0
9.912732719,15.0-30.0
6.408110436,40.0-50.0
9.070205476,15.0-30.0
0.602239969,15.0-30.0
5.298016227,15.0-30.0
0.0,0.0-15.0
0.0,0.0-15.0
4.73013199,0.0-15.0
9.607508599,15.0-30.0
1.629425083,15.0-30.0
1.79441071,30.0-40.0
0.8010865229999999,40.0-50.0
36.52871122,40.0-50.0
51.38895599,70.0-85.0
14.85699263,15.0-30.0
6.683677134,40.0-50.0
21.62255716,40.0-50.0
4.621114909,0.0-15.0
0.74784749,30.0-40.0
15.47495789,30.0-40.0
27.35092133,30.0-40.0
13.25145725,30.0-40.0
31.25713511,60.0-70.0
0.0,50.0-60.0
31.2588772,50.0-60.0
45.97256872,70.0-85.0
15.16491224,15.0-30.0
3.292807267,15.0-30.0
26.7810647,70.0-85.0
3.26158183,0.0-15.0
0.64714493,0.0-15.0
15.37805239,30.0-40.0
23.1010236,50.0-60.0
11.92095297,50.0-60.0
29.57593303,50.0-60.0
0.0,15.0-30.0
33.21564888,40.0-50.0
47.61178197,70.0-85.0
10.63604029,15.0-30.0
1.520182439,15.0-30.0
24.41645938,40.0-50.0
0.489044772,0.0-15.0
0.0,0.0-15.0
18.44134196,30.0-40.0
13.34881918,30.0-40.0
11.75749506,30.0-40.0
32.71728338,30.0-40.0
25.1779767,40.0-50.0
11.6535106,40.0-50.0
8.034140762,40.0-50.0
39.12148383,15.0-30.0
13.27473408,15.0-30.0
9.540244592,40.0-50.0
44.50757189,15.0-30.0
47.13740479,15.0-30.0
45.82883908,40.0-50.0
8.123761297,15.0-30.0
7.405890222999999,15.0-30.0
4.698019536,40.0-50.0
42.30149711,40.0-50.0
37.12675544,40.0-50.0
47.37471195,40.0-50.0
46.04956103,40.0-50.0
36.22635154,40.0-50.0
46.21141257,60.0-70.0
65.92742304,40.0-50.0
57.95486785,40.0-50.0
66.26538653,40.0-50.0
42.74477554,40.0-50.0
38.66523027,40.0-50.0
47.71503964,40.0-50.0
38.40946204,40.0-50.0
25.94389985,40.0-50.0
31.9378098,70.0-85.0
46.67086698,50.0-60.0
34.74723042,50.0-60.0
46.19860459,70.0-85.0
57.87284649,40.0-50.0
57.13220837,40.0-50.0
67.81431274,40.0-50.0
38.20230031,40.0-50.0
35.28694368,40.0-50.0
37.72387007,70.0-85.0
42.52691913,40.0-50.0
23.50114845,40.0-50.0
32.33228249,40.0-50.0
42.07740888,40.0-50.0
32.36655355,40.0-50.0
41.28466002,70.0-85.0
65.46891846,40.0-50.0
59.06928985,40.0-50.0
66.81498604,40.0-50.0
0.0,40.0-50.0
20.89901676,40.0-50.0
23.916357,40.0-50.0
8.641168314,15.0-30.0
2.840028013,15.0-30.0
2.373234972,15.0-30.0
3.898269895,15.0-30.0
0.597123544,15.0-30.0
0.0,15.0-30.0
41.22664286,15.0-30.0
14.42253285,15.0-30.0
9.508784567,40.0-50.0
5.529906697,15.0-30.0
6.730455291,30.0-40.0
4.191040534,40.0-50.0
15.85894672,15.0-30.0
34.88973455,15.0-30.0
45.52184766,40.0-50.0
9.627089409,50.0-60.0
5.935933532999999,50.0-60.0
8.970204017,70.0-85.0
47.27988184,60.0-70.0
39.21368937,60.0-70.0
49.69104828,70.0-85.0
45.77689221,40.0-50.0
37.13655068,40.0-50.0
49.01650319,70.0-85.0
12.59161714,15.0-30.0
12.21281347,15.0-30.0
31.09780796,70.0-85.0
38.02062933,50.0-60.0
21.09483753,50.0-60.0
36.44526769,70.0-85.0
46.64890669,50.0-60.0
37.85579692,60.0-70.0
47.15627467,70.0-85.0
41.6263458,50.0-60.0
35.15329281,50.0-60.0
36.98776703,70.0-85.0
14.89842021,15.0-30.0
14.98944103,15.0-30.0
26.95590806,15.0-30.0
29.01476311,0.0-15.0
16.7341519,50.0-60.0
20.44948228,70.0-85.0
49.20462645,50.0-60.0
38.56333460000001,50.0-60.0
43.83894822,70.0-85.0
27.61595801,40.0-50.0
20.54633014,40.0-50.0
20.84643886,40.0-50.0
5.449924218,0.0-15.0
7.024622197,15.0-30.0
5.140109821,0.0-15.0
37.56535564,15.0-30.0
18.89524916,30.0-40.0
26.65189435,30.0-40.0
19.99982627,15.0-30.0
19.596159,15.0-30.0
26.96354436,30.0-40.0
21.9766332,0.0-15.0
41.48980841,15.0-30.0
51.01008234,30.0-40.0
49.11143206,30.0-40.0
43.69560153,30.0-40.0
53.675534,40.0-50.0
43.35721014,40.0-50.0
43.87183311,30.0-40.0
49.9274003,40.0-50.0
14.01241706,0.0-15.0
40.37403082,0.0-15.0
54.89240735,0.0-15.0
42.27311559,30.0-40.0
39.3913488,30.0-40.0
45.97105208,30.0-40.0
45.27500965,15.0-30.0
43.26194293,15.0-30.0
45.98211557,30.0-40.0
16.85702349,0.0-15.0
40.1396941,0.0-15.0
53.14523882,30.0-40.0
52.78848387,40.0-50.0
43.86426544,30.0-40.0
57.53990104,40.0-50.0
54.76985941,15.0-30.0
45.40015878,30.0-40.0
55.01223205,40.0-50.0
5.971176669,0.0-15.0
2.633257106,0.0-15.0
7.774794319,30.0-40.0
14.36693621,0.0-15.0
28.37187434,15.0-30.0
19.44976087,0.0-15.0
35.21497708,0.0-15.0
34.22871308,15.0-30.0
27.38026406,0.0-15.0
19.65840226,30.0-40.0
55.19349187,30.0-40.0
56.13504943,30.0-40.0
54.23706048,15.0-30.0
51.57354724,15.0-30.0
51.23480839,30.0-40.0
49.32093179,40.0-50.0
52.56356450000001,30.0-40.0
48.93807733,40.0-50.0
11.33541199,0.0-15.0
33.79435982,0.0-15.0
36.05750203,30.0-40.0
50.89816476,0.0-15.0
45.50089871,0.0-15.0
44.26066466,0.0-15.0
37.40734019,0.0-15.0
54.42113597,0.0-15.0
43.57558027,40.0-50.0
16.72117045,0.0-15.0
47.46105675,30.0-40.0
49.32388819,30.0-40.0
54.63240731,0.0-15.0
51.39664392,15.0-30.0
50.10376029,30.0-40.0
57.08877056,0.0-15.0
53.38444046,15.0-30.0
53.33497035,40.0-50.0
4.112217946,0.0-15.0
13.524053,15.0-30.0
8.039691846,15.0-30.0
9.105544009,0.0-15.0
1.742923089,0.0-15.0
0.878081853,30.0-40.0
41.17834608,0.0-15.0
17.10738006,15.0-30.0
24.71545556,0.0-15.0
4.471163192,0.0-15.0
2.871965335,0.0-15.0
3.936030958,0.0-15.0
18.29616546,15.0-30.0
42.00742206,15.0-30.0
53.10447809,40.0-50.0
17.14482537,30.0-40.0
14.9053934,30.0-40.0
33.28584241,30.0-40.0
47.05254638,30.0-40.0
40.32887688,30.0-40.0
52.0133379,30.0-40.0
13.83920399,0.0-15.0
35.19969401,0.0-15.0
42.55967392,30.0-40.0
9.685019183,0.0-15.0
37.2145199,15.0-30.0
49.74093184,0.0-15.0
15.44371593,0.0-15.0
15.30703648,0.0-15.0
35.33585167,30.0-40.0
48.36396181,0.0-15.0
40.47969677,0.0-15.0
49.57379186,70.0-85.0
12.42396719,0.0-15.0
35.24488191,0.0-15.0
43.58283319,30.0-40.0
11.24955158,0.0-15.0
37.1376218,15.0-30.0
50.10463357,40.0-50.0
11.0075153,0.0-15.0
6.894237827,30.0-40.0
39.27719826,30.0-40.0
46.93920076,0.0-15.0
35.25588385,15.0-30.0
50.21013597,30.0-40.0
8.071196301,0.0-15.0
24.02218457,0.0-15.0
39.0058585,30.0-40.0
0.0,0.0-15.0
21.7977125,0.0-15.0
15.48048004,0.0-15.0
6.9996798810000005,0.0-15.0
2.613234135,15.0-30.0
10.26938874,0.0-15.0
0.0,0.0-15.0
1.933202382,0.0-15.0
9.35930625,0.0-15.0
11.82938133,0.0-15.0
2.128691227,0.0-15.0
2.066222749,0.0-15.0
2.97427716,0.0-15.0
40.65115531,15.0-30.0
56.62080434,30.0-40.0
19.37897224,15.0-30.0
25.46788478,15.0-30.0
35.07362546,30.0-40.0
3.876829723,0.0-15.0
2.732925094,0.0-15.0
19.40320705,30.0-40.0
26.91242644,0.0-15.0
15.92909866,0.0-15.0
34.0355551,30.0-40.0
2.458138496,0.0-15.0
34.24307349,0.0-15.0
47.70226953,85.0-100.0
19.46778248,0.0-15.0
23.04423411,15.0-30.0
29.42310745,0.0-15.0
6.286120839,0.0-15.0
2.042704931,0.0-15.0
15.73387398,0.0-15.0
29.85245303,0.0-15.0
18.20662132,0.0-15.0
35.50826326,30.0-40.0
7.843927615,0.0-15.0
37.49278178,0.0-15.0
50.83768511,30.0-40.0
14.35852859,0.0-15.0
16.00671459,15.0-30.0
25.12838943,0.0-15.0
4.88514688,0.0-15.0
0.974444275,0.0-15.0
18.87491239,0.0-15.0
28.28230111,0.0-15.0
23.34747951,0.0-15.0
41.68551837,30.0-40.0
32.37253744,0.0-15.0
17.02843498,15.0-30.0
20.18480169,30.0-40.0
47.59873076,0.0-15.0
17.72318391,15.0-30.0
21.41511712,0.0-15.0
50.81226991,15.0-30.0
49.46765787,15.0-30.0
50.09626002,30.0-40.0
9.226197008,0.0-15.0
8.430071853,15.0-30.0
8.109204436,30.0-40.0
40.31193463,30.0-40.0
34.27058432,30.0-40.0
42.52654707,30.0-40.0
43.335395,30.0-40.0
33.94655387,30.0-40.0
44.40779423,30.0-40.0
63.53284655,30.0-40.0
52.14546944,30.0-40.0
56.80622374,40.0-50.0
44.8781348,30.0-40.0
31.57364304,30.0-40.0
44.37252425,40.0-50.0
42.82874785,30.0-40.0
42.12607272,30.0-40.0
49.97942971,30.0-40.0
49.72808893,0.0-15.0
40.08752213,0.0-15.0
49.53018855,70.0-85.0
60.98476598,15.0-30.0
60.30536067,15.0-30.0
65.94429183,30.0-40.0
39.32745332,0.0-15.0
42.09555031,0.0-15.0
49.04564688,30.0-40.0
47.95299992,30.0-40.0
39.99682926,30.0-40.0
49.75811265,30.0-40.0
50.20384511,0.0-15.0
40.59375347,15.0-30.0
49.61017751,30.0-40.0
66.01585424,15.0-30.0
59.60099255,30.0-40.0
68.24812709999999,40.0-50.0
43.09475613,0.0-15.0
36.0742325,30.0-40.0
44.44845486,40.0-50.0
6.654637209,0.0-15.0
4.296191189,0.0-15.0
5.371995824,0.0-15.0
2.8197473260000003,0.0-15.0
1.6246243130000002,0.0-15.0
0.0,0.0-15.0
47.37967992,15.0-30.0
22.92734992,15.0-30.0
17.33987768,15.0-30.0
6.840870887,0.0-15.0
13.41857273,15.0-30.0
6.114675165,30.0-40.0
15.94900479,0.0-15.0
35.68810141,15.0-30.0
47.90925553,0.0-15.0
11.09901507,0.0-15.0
58.0174464,0.0-15.0
44.46296659,40.0-50.0
44.44212826,15.0-30.0
35.2237201,30.0-40.0
41.80838188,70.0-85.0
41.36745101,30.0-40.0
32.814438300000006,30.0-40.0
42.67624543,30.0-40.0
14.72607829,0.0-15.0
33.66516566,0.0-15.0
44.42036094,0.0-15.0
38.77000873,0.0-15.0
57.7087314,0.0-15.0
47.11829387,70.0-85.0
45.17206702,60.0-70.0
41.07404232,60.0-70.0
49.15467449,70.0-85.0
41.53702825,0.0-15.0
41.08459601,30.0-40.0
44.33872807,30.0-40.0
16.26779165,0.0-15.0
40.85999304,0.0-15.0
49.01475041,0.0-15.0
33.20741805,0.0-15.0
49.985461,0.0-15.0
46.3015164,0.0-15.0
49.50904012,15.0-30.0
39.70763397,15.0-30.0
48.45171074,30.0-40.0
44.94211074,30.0-40.0
34.2854552,30.0-40.0
46.31398784,30.0-40.0
