True Yield,Prediction_Ours_500
2.475057616,0.0-15.0
0.456472494,15.0-30.0
0.339837285,0.0-15.0
0.0,15.0-30.0
0.0,40.0-50.0
0.0,40.0-50.0
0.948128865,15.0-30.0
0.940121626,15.0-30.0
0.828206999,40.0-50.0
2.663355036,15.0-30.0
0.655700656,15.0-30.0
2.942173839,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.924541619,40.0-50.0
0.668792684,40.0-50.0
1.18600639,40.0-50.0
1.0224022940000002,0.0-15.0
0.0,15.0-30.0
1.1000305259999998,0.0-15.0
0.0,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.297246729,15.0-30.0
0.345789289,15.0-30.0
0.605197064,40.0-50.0
1.705289038,0.0-15.0
0.0,15.0-30.0
0.862838268,40.0-50.0
0.3809182129999999,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.230274449,40.0-50.0
0.316193405,40.0-50.0
0.364667905,40.0-50.0
1.856863727,0.0-15.0
0.0,0.0-15.0
0.0,40.0-50.0
2.064063489,0.0-15.0
1.299881507,15.0-30.0
0.844427684,15.0-30.0
0.47110416,0.0-15.0
0.43718104,15.0-30.0
0.389738186,15.0-30.0
2.060581853,40.0-50.0
0.529819216,30.0-40.0
3.500057239,40.0-50.0
1.112505085,15.0-30.0
1.102452884,15.0-30.0
1.402918235,40.0-50.0
0.39886034,40.0-50.0
0.695297498,40.0-50.0
0.97555089,40.0-50.0
0.862512473,0.0-15.0
0.0,30.0-40.0
1.581660756,30.0-40.0
0.51807887,0.0-15.0
0.682447226,15.0-30.0
0.81239337,30.0-40.0
0.0,0.0-15.0
0.0,15.0-30.0
0.354218547,85.0-100.0
1.858564029,40.0-50.0
0.0,30.0-40.0
2.0185504880000003,40.0-50.0
1.262424529,0.0-15.0
0.85894734,15.0-30.0
1.0681254059999998,40.0-50.0
0.0,0.0-15.0
0.338169234,15.0-30.0
0.3553679289999999,40.0-50.0
1.729864191,15.0-30.0
0.377050084,15.0-30.0
0.275668441,15.0-30.0
0.121773863,0.0-15.0
0.0,0.0-15.0
0.0,30.0-40.0
1.208332351,0.0-15.0
0.5424974920000001,15.0-30.0
0.44794504,15.0-30.0
1.468935867,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
2.579332416,15.0-30.0
0.321740184,15.0-30.0
0.8572553079999999,40.0-50.0
0.970983294,30.0-40.0
0.0,30.0-40.0
0.0,30.0-40.0
2.048615833,40.0-50.0
0.96264489,30.0-40.0
1.413781414,70.0-85.0
1.84960131,0.0-15.0
0.0,30.0-40.0
4.510108394,30.0-40.0
0.295056228,0.0-15.0
0.0,15.0-30.0
0.0,85.0-100.0
0.1532427999999999,0.0-15.0
0.0,0.0-15.0
0.0,60.0-70.0
0.0,60.0-70.0
0.35921569,60.0-70.0
0.49264217,85.0-100.0
0.5287626999999999,0.0-15.0
0.0,0.0-15.0
0.987020024,30.0-40.0
0.0,15.0-30.0
0.0,15.0-30.0
0.382305168,40.0-50.0
0.0,30.0-40.0
0.0,30.0-40.0
0.0,30.0-40.0
0.0,0.0-15.0
0.319224301,15.0-30.0
0.492662711,40.0-50.0
0.0,0.0-15.0
0.0,0.0-15.0
1.061200258,30.0-40.0
0.0,0.0-15.0
0.426836265,15.0-30.0
0.344428756,0.0-15.0
3.02090007,15.0-30.0
0.0,15.0-30.0
0.0,15.0-30.0
0.0,0.0-15.0
0.0,0.0-15.0
0.423167396,0.0-15.0
0.8503584259999999,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
0.5535074839999999,15.0-30.0
0.723968187,70.0-85.0
1.879419954,15.0-30.0
0.0,15.0-30.0
2.863405084,40.0-50.0
0.359225753,0.0-15.0
0.0,0.0-15.0
2.7209239710000004,30.0-40.0
1.194006928,0.0-15.0
0.7070455170000001,30.0-40.0
1.858400826,30.0-40.0
0.0,50.0-60.0
0.438548426,50.0-60.0
0.578158424,85.0-100.0
1.03540736,0.0-15.0
0.0,15.0-30.0
0.851812248,0.0-15.0
0.0,0.0-15.0
0.0,0.0-15.0
0.788355769,0.0-15.0
0.593797719,0.0-15.0
0.0,0.0-15.0
0.710304987,60.0-70.0
0.0,0.0-15.0
0.4065857229999999,0.0-15.0
0.7862553109999999,40.0-50.0
0.6131578329999999,0.0-15.0
0.0,15.0-30.0
0.0,40.0-50.0
0.0,0.0-15.0
0.0,0.0-15.0
1.682541771,30.0-40.0
0.538585368,0.0-15.0
0.0,0.0-15.0
0.7072545920000001,30.0-40.0
1.221284135,0.0-15.0
0.0,15.0-30.0
0.0,40.0-50.0
0.0,0.0-15.0
0.448085745,15.0-30.0
0.0,40.0-50.0
10.03471889,15.0-30.0
39.22831543,15.0-30.0
38.99137319,40.0-50.0
0.0,0.0-15.0
0.0,15.0-30.0
0.0,40.0-50.0
3.120933892,40.0-50.0
0.3399420529999999,40.0-50.0
0.399824711,40.0-50.0
1.277604509,40.0-50.0
0.719285108,40.0-50.0
1.152603634,70.0-85.0
8.38964842,40.0-50.0
41.03794598,40.0-50.0
42.05804129999999,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.0,40.0-50.0
0.4713272579999999,40.0-50.0
0.0,30.0-40.0
0.0,40.0-50.0
0.0,60.0-70.0
0.0,60.0-70.0
0.0,70.0-85.0
7.206982067,15.0-30.0
39.97323526,15.0-30.0
41.98383636,40.0-50.0
0.0,0.0-15.0
0.0,15.0-30.0
0.0,40.0-50.0
